Launcher Text	

0	
1	这个装置不支持 D3D模式的硬件加速。魔法门八：毁灭者之日必须以软件加速模式进行。
2	无法获得这个装置的描述。
3	本装置支持D3D的硬件加速。
4	您目前的显示卡驱动程序不支持 alpha blending；请和您的硬件制造商洽询最新的驱动程序。在显示卡驱动程序更新之前， 魔法门 八：毁灭者之日必须以软件加速模式进行。 
5	您目前的显示卡不支持非方形的贴图。魔法门八：毁灭者之日需要非方形的贴图模式。因此，目前只能以软件加速的模式进行。
6	主要显示卡驱动程序
7	======================
8	次要显示卡驱动程序
9	您的桌面显示设定必须设定为“高彩”(High Color16-bit)模式，才能够让魔法门 八：毁灭者之日正常的在窗口模式下运作。
10	警告：魔法门 八：毁灭者之日侦测到您的显示卡内存少于八MB。您的显示卡支持执行魔法门八所需要的功能，但是内存很可能不足以正常进行这个游戏。如果您在游戏进行或是游戏整体的表现上有不正常的地方，请用软件加速模式来进行。
11	警告：魔法门 八：毁灭者之日侦测到您的显示卡内存少于四MB。您的显示卡支持执行魔法门八所需要的功能，但是内存很可能不足以正常的进行这个游戏。如果您在游戏进行或是游戏整体的表现上有不正常的地方，请用软件加速模式来进行。
