Item#	message text	Location	Item Name
700	“回复青春”的黑药剂在修正年龄老化的效果上价值非常得高。要混合调剂出这样的药剂来，你必须找出三种基本药材的正确混合配方来。	Rejuvenation	Empty Message Scroll
701	“强化力量”的黑色药剂是任何冒险者的梦想。增加额外且永久性的力量可以让任何人变成战斗机器。要混合这个药剂，你必须要利用四个红色药材，再加上两个蓝色药材，以及一个黄色的药材。	Pure Might	Empty Message Scroll
702	“强化准度”的黑色药剂是任何弓箭手的梦想。增加额外且永久性的准度可以让任何人变成战斗机器。要混合出这种药剂，您必须要利用四个黄色药材，外加两个红色药材，以及一个蓝色药材。	Pure Accuracy	Empty Message Scroll
703	“强化人格”的黑色药剂将会永久性地增加你的人格，同时进而改变那些依据人格而判断的法力点数。要混合出这种药剂，您必须要正确地混合一个红色药材以及四个蓝色药材，还有两个黄色药材。	Pure Personality	Empty Message Scroll
704	“强化耐力”的黑色药剂是任何冒险者的梦想。额外且永久性的耐力可以将任何人变成战斗机器，把他们的生命点数提升到超越正常的地步。要混合这种药剂，你必须要找出正确的混合比例。您需要两个红色药材，加上四个蓝色药材和一个黄色药材。	Pure Endurance	Empty Message Scroll
705	“强化智力”的黑色药剂将会永久地增加智力，并且增加那些以你的智力为依据的法力点数上限。要混合出这种药剂，您必须要正确地组合一个红色药材和两个蓝色药材和四个黄色药材。	Pure Intellect	Empty Message Scroll
706	“强化速度”的黑色药剂是任何无法偷袭敌人的队伍所需要的终极答案。除了额外增加你的速度外，还可以加快你恢复的速度和行动的速度。没有人会嫌自己的动作太快。要混合这个药剂，你必须要找出正确的混合比例，是四个红色药材和两个蓝色药材和一个黄色药材。	Pure Speed	Empty Message Scroll
707	“强化运气”的黑色药剂是专门让那些解除陷阱技能有缺陷的队伍所使用的药剂。额外的幸运度可以让你在陷阱被启动之前能够成功地闪躲开来。永远没有人会嫌自己太幸运的。要混合出这种药剂，您必须要正确地混合两个红色药材和三个蓝色药材和三个黄色药材。	Pure Luck	Empty Message Scroll
708	“屠龙”的黑色药剂可以将任何武器转变成屠龙专用的武器。要混合出这种药剂，您必须要混合三个红色药材和三个蓝色药材和两个黄色药材。	Slaying Potion	Empty Message Scroll
709	“解除石化”的黑色药剂让你可以自行治疗石化。要混合出这种药剂，您必须要混合任三个红色药材和任两个蓝色药材和任三个黄色药材。	Stone To Flesh	Empty Message Scroll
