Day of Week Profession Text															
#		Sunday topic	Sunday text	Monday topic	Monday text	Tuesday topic	Tuesday text	Wednesday topic	Wednesday text	Thursday topic	Thursday text	Friday topic	Friday text	Saturday topic	Saturday text
1	Smith	休息	星期天你怎么还在这里闲逛？今天应该休息，我的孩子，休息吧！	星期一	我不喜欢星期一。	雇佣工匠	别搅了我们的生意。说实话，如果你确实需要我们，不妨出个好价钱，我们会跟你走的。但如果没什么需要，我们可不会跟着你到处瞎转悠。	魔法兵器	有时你看一眼就能知道这个兵器是否经魔法点化。经点化的兵器非常沉重，光彩照人，价格昂贵，而且威力无比。	阿卜杜的廉价	不要被名字所迷惑，阿卜杜的廉价商店卖的可是质量上乘的商品，而且价格非常低廉。老实说，这可不是他付钱让我给他招揽生意，事实如此。	骑士的乐园	恩洛斯最好的兵器商店名叫骑士的乐园。老板是埃里克·李奇特。那里卖王国里最优质的兵器。	兵器走私者	大耳怪竭尽全力购买兵器以进攻人类的城镇。我听说李奇特敢冒天下之大不韪，把兵器卖给这些可恶的家伙。
2	Armorer	魔法盔甲	魔法盔甲有两种：一种可以保护你，一种轻便易穿着。很少有盔甲可以包容这两个优点。	经点化的锁甲	恩洛斯最好的铠甲店是点化锁甲商店。老板名叫泰德，但他喜欢人们叫他塔德尔。	雇佣工匠	别搅了我们的生意。说实话，如果你确实需要我们，不妨出个好价钱，我们会跟你走的。但如果没什么需要，我们可不会跟着你到处瞎转悠。	盾牌	不要小看了一块上好盾牌的防御力。我清楚一件可双手使用的武器威力惊人，杀伤力巨大。但万一你一击不中，或是对手经受一击而并没有倒下，你就有大麻烦了。但有盾牌的保护，它说不定能救你一命。	商人	在你和商人做买卖的时候必须选派经商术最高的角色和他们讨价还价。他们可是斤斤计较，为每分钱寸土不让，相信我说的话吧！	矮人族	你要知道，在斯纳格篡夺洛克林的矮人族王位前，制造兵器和铠甲的金属价格相当便宜。如果有人能阻止斯纳格，那就太好了。	巨龙的金币	大多数巨龙有一个巢穴，里面尽是金币。这些金币都是从前去屠龙而死于非命的勇士身上抢来的。
3	Alchemist	重新恢复魔杖的魔力	当魔杖失去了魔力，它就失去作用了，魔杖的魔力是无法恢复的。但通常你可以在魔力失去之前卖了它。	魔法物品店	恩洛斯最好的魔法物品店是魔法力量商店。在那里有不同寻常、威力无比的受过魔法点化的物品。	时空道标物件	如果你找到含有时空道标魔法的物件，千万记住每个角色都可传送至指定地点。就是说不会该项魔法的角色也可以和别人一起传送。	破裂的物件	统计数据表明在角色遭受攻击而不省人事时他的大部分物件会破裂，或被怪兽抢走。要防治此类事情发生必须尽早去神庙治疗，避免处于昏迷状态。	春秋分和冬夏至	一些神奇魔法只有在一年的某个时候才能发挥它的威力，比如在春秋分或冬夏至。日食、午夜、正午和彗星出现之日都是重要的魔法时刻。今年的重要日期有：3月20日，6月21日，9月23日，12月21日。	魔法教派	一旦你已经成为了专项魔法教派的一员，就不需要加入同一教派的另外分支了。比如加入烈火教派，就不需要加入另外一个烈火教派就能够学习它们的魔法。	被诅咒的物件	你在旅行时找到的魔法物件有一些受到了魔法的诅咒。由于它们在使用时会有副作用，对你自身产生不利的影响，所以必须在使用前权衡利弊，谨慎考虑。
4	Scholar	药剂	把药剂按一定剂量混合可以制造出威力无比的魔法。但炼金师教派保留着这个秘密配方，从不向外流传。	财宝	你对一些不起眼的东西可要谨慎对待。只有经过像我这样的专家鉴定后才可以决定是否卖了它。不然一些价值连城的物件会被你廉价出售。它们的价值令你无法想象。	草根	有三种草药可以制成原始的药剂配方。它们是罂粟花，灵芝草和草莓浆果。把这些花呀，草呀，果呀混在一起，就可以制成药剂。	魔法能力	大多数物件可以被点化具有一些普通的魔力，但只有很少一些真正有价值的物件才能被点化赋予高深的魔法，比如霹雳闪电的魔杖。	白色和黑色	在恩洛斯，黑色和白色的物件有非凡的魔法威力。如果某物件或药剂是白色的，意味着它的威力巨大，而且无任何副作用。如果是黑色的，尽管它威力无穷，但对自身也可能造成伤害，必须谨慎使用。	浓雾岛	阿尔伯特·牛顿是浓雾岛的爵士，他对于魔法有独特的造诣。如果你在魔法上存有疑问，不妨向他请教。	正午	也许你明白正午施展的魔法吸取了太阳的能量。通过这个方法法力无边的魔法师可以点化恩洛斯的各种物件，使其具有强大的魔法。
5	Guide	文明	我对人类文明的研究不深。但在恩洛斯东海岸边可以得到比别的地方多得多的商品和服务，这在自由天堂是难以想象的。	西方废墟	西方的国土本来土地肥沃，绿草葱茏。但如今却变成一块恶臭难闻，寸草不生的废地。	克里格斯城堡	克里格斯城堡本来是为了研究它周围独有的火山而修建的。但是这些活火山频频爆发，使城堡的百姓纷纷撤离。尽管它现在仍安然无恙，但只有怪兽敢住在里面。	火山岛	人们传说在恩洛斯西南部有个岛是羊鸣教的总部。我不知道这样一个势力庞大的教派为什么住在这么偏远的地方。	阿卜杜的廉价岛屿胜地	人人都知道阿卜杜的连锁廉价商店。他还有个岛屿胜地，价格相当便宜，在那里可以重获青春，恢复疲劳。据说阿卜杜自己住在这个胜地里，很少到大陆来。	沼泽	在坦普城堡南面的沼泽旅行千万要小心。那里到处是不死的幽灵在游荡，他们对活人和太阳毫不害怕。	沙漠	只有最强大的魔法师或武功盖世的剑客方能进入沙漠。那里到处是巨人和巨龙，冒然进入沙漠准是有去无回。传说沙漠里有个神秘的金字塔，里面蕴藏了无穷的财宝和威力无穷的魔法秘密，只有最勇敢，最强大的好汉才能发掘这里的宝藏。
6	Tracker	马匹	只要你有钱，骑马旅行可比步行快得多了。你可以在任何一个城镇的驿站里雇到马匹。	东方海岸	王国东部是人烟茂盛的和平乐土。但西面尽是些小村镇，而且你能找到一两个就不错了。	巨龙	飞龙沙漠里的巨龙，它的杀伤力远远超过恶魔，而且活动范围已经扩大到了飞龙沙漠周围的戈壁上，听说它们在克里格斯城堡也曾经出现。	冰冻高地	传说冰冻高地的西面到处是些强大无比的怪兽，可能是巨龙！	僧侣	僧侣教派在银湾镇附近的大草原上蓬勃发展。他们经常布置石圈举行仪式或敬拜大自然。	时空之门	尽管我没见过，但我听说有这种魔法可以立即远距离传送至另一个地方，不过那就没有旅行的乐趣了。	冰风关隘	这个关隘可以通往白帽镇和斯壮姆嘉德城堡，但最近被一伙食人妖和强盗联手霸占了。
7	Pathfinder	魔法传送	魔法师很懒，所以他们发明了一些远距离瞬时传送物体的魔法。这些魔法很管用，但缺少真正旅行的趣味。	幽灵沼泽	这个可怕的地方因为潜伏其间的不死亡灵而得名。传说凡在这个沼泽被杀害的人都变成了守护这个地方的幽灵守卫。	敌人	有些怪兽还是蛮讲道理的，你不必和它们兵戎相见。有时一两句话就可以摆脱困境。记住，你不必毁灭一切。	天堂谷	这真是个不祥之地。自从恶魔来到天堂谷，它就变成了一块寸草不生的废地，到处是恶魔在游荡，谁去那里都是有去无回。	守卫山	环绕天堂谷的群山称之为守卫山。是它保护附近村庄不受恶魔的骚扰，还警告人们不要进入山谷。	飞龙沙漠	正如其名，飞龙沙漠里尽是巨龙和沙子。我想巨龙肯定比恶魔更强大，更可怕，否则恶魔早就控制沙漠了。	布莱克郡	我曾听说这个镇子被一种可怕的诅咒笼罩着，但我每次去那里都觉得那里一切正常。
8	Sailor	凌波微步	我听说一些会施展凌波微步魔法的巫师在寻找雇主，但他们的要价非常高。	旅行季节	有些地方在一年中的某些时候可不能坐船去，你最好仔细安排你的行程以免带来不便。	劳里达·弗丽斯	弗丽斯夫人是商界的女王，她靠垄断船运业价格积累了巨额财富。	皇家游艇	罗兰德国王把他的私人游艇——凯瑟琳皇后号放在铁拳城堡西面的湖里。它是一艘有魔力的物件，可以迅速到达附近的任何地方。但只有国王和摄政王有其使用权。	岛屿	乘船航行和凌波微步魔法并用可以到达许多岛屿。岛上大多是凶猛可怕的恶魔，但也有价值连城的珠宝。	埋藏的财宝	据说自由天堂东面的岛屿上藏着海盗席尔瓦克的财宝。这种故事我听了一大堆，但只有找到地图，才能证明真有其事。	埃拉西亚	最近船运公司都停业了，如果要去凯瑟琳·艾恩法斯特的家乡埃拉西亚约需三周的航程，根据季节会有不同。我没去过那里，但听说那里是个好地方。
9	Navigator	旅行季节	在计划坐船航行时千万要小心。有些水域在一年中的某个时段是非常危险的。	海妖	大洋里许多水域有海妖出没。尽管它们不能伤害船队，但在水面施展凌波微步魔法或在海岸边散步都可能遭到它们攻击而一命呜呼。	海盗	海滨城镇和行动迟缓的货船都会遭到海盗的袭击。幸亏他们人数不多，但他们的袭击会影响受害城镇的物价水平。	布特雷格湾	布特雷格湾里有很多小岛。我听说岛上还有神庙和海盗的隐蔽所。我尽管没有见过，但我想那里肯定藏了大批海盗抢劫的珠宝。	乘船航行	乘船航行速度比较慢，如果你急于赶时间的话，最好不走水路。	隐士岛	隐士岛是在恩洛斯西南面的一个巨大火山岛。那里比废地还要荒芜。特伦斯爵士曾经开玩笑就是隐士也受不了那里的艰苦环境，肯定会逃之夭夭。它的名字就是这么来的。	凌波微步	凌波微步魔法尽管精妙无比，但还是不能和坐船相比。不仅速度慢于航船，还要担心魔法会随时失效，海妖也会给你添麻烦。所以船只是最佳的水路交通工具。
10	Healer	疾病和毒药	及时治病和解毒相当重要。拖延时间越长，治疗的难度就越大。如果多次得病或中毒，危险更大。	昏迷不醒	如果你受伤过重，就会昏迷不醒。如果此时再受伤，那就神仙也难救了。	灭绝	有些怪兽和魔法的攻击会把你的躯体付之一炬，而且使起死回生的魔法难以发挥作用。我们的医师称之为灭绝术。只有特定的神庙和某些魔法可以破解灭绝术。	死亡	如果你要施展使人起死回生的魔法，最好抓紧时间。如果时间拖得太长，救治的困难就越大，这是要付出代价的。	自由天堂的斯通城堡	斯通爵士一度在自由天堂建造了神庙。但许多年以前被一群歹徒付之一炬。神庙的神坛拥有无穷的魔力，可以使神父施展起死回生魔法，甚至躯体灭迹了也能复生。	死灵法师	所有的死灵法师都被驱逐了。但有一两个魔法师，他们的邪恶魔法已经到了登峰造极的地步，于是变成了尸巫。这些尸巫中魔法最高的魔法师考勒根，曾经是阿基巴德的爵士，如今在幽灵沼泽东南部的豪宅中隐居。	休息	只有在一处舒适的旅店里才能好好得到休息。你可以恢复力量和魔力，治疗身上的创伤。如果不得不在野地里休息，必须带足食物，饿着肚子可不能好好的休息。
