Q Bit	Quest Note Text	Notes	Owner	
1	Return a red potion to the Judge on Emerald Island.	0	Bryan	
2	Return a seashell to the Judge on Emerald Island.	0	Bryan	
3	Return a longbow to the Judge on Emerald Island.	0	Bryan	
4	Return a floor tile to the Judge on Emerald Island.	0	Bryan	
5	Return a musical instrument to the Judge on Emerald Island.	0	Bryan	
6	Return a wealthy hat to the Judge on Emerald Island.	0	Bryan	
7		Finished Scavenger Hunt	Bryan	
8		Brought red potion	Bryan	0
9		Brought seashell	Bryan	0
10		Brought longbow	Bryan	0
11		Brought tile	Bryan	0
12		Brought instrument	Bryan	0
13		Brought hat	Bryan	0
14		Accepted Fireball wand from Malwick	Bryan	0
15		Able to use boat to get off Emerald Island	Bryan	0
16	Find the missing contestants on Emerald Island and bring back proof to Lord Markham.	0	Bryan	0
17		No more docent babble	Bryan	0
18	"Go to Lord Markham's estate in Tatalia, steal the vase there, and return it to William Lasker in the Erathian Sewers."	0	Bryan	0
19	"Go to Watchtower 6 in the Deyja Moors, and move the weight from the top of the tower to the bottom of the tower.  Then return to William Lasker in the Erathian Sewers."	0	Bryan	0
20		Watchtower 6.  Weight in the appropriate box.  Important for Global event 47 (Spy promotion)		0
21	Go to the Celestial Court in Celeste and kill Lady Eleanor Carmine.  Return with proof to Seknit Undershadow in the Deyja Moors.	0	Bryan	0
22	"Kill Wromthrax the Heartless in his cave in Tatalia, then talk to Sir Charles Quixote."	0	Bryan	0
23		Killed dragon when on Crusader quest	Bryan	0
24	Rescue Alice Hargreaves from William's Tower in the Deyja Moors then talk to Sir Charles Quixote.	0	Bryan	0
25		Mini-dungeon Area 5.  Rescued/Captured Alice Hargreaves.	Bryan	0
26	Capture Alice Hargreaves from her residence in Castle Gryphonheart and return her to William's Tower in the Deyja Moors.	0	Bryan	0
27	Find the lost meditation spot in the Dwarven Barrows.	0	Bryan	0
28	"Go to the Temple of Baa in Avlee and kill the High Priest of Baa, then return to Bartholomew Hume in Harmondale."	0	Bryan	0
29	"Crack the code in the School of Sorcery in the Bracada Desert to reveal the location of the Tomb of Ashwar Nog'Nogoth.  Discover the tomb's location, enter it, and then return it to Stephan Sand in the Pit."	0	Bryan	0
30	Retrieve the Perfect Bow from the Titans' Stronghold in Avlee and return it to Lawrence Mark in Harmondale.	0	Bryan	0
31	Sabotage the lift in the Red Dwarf Mines in the Bracada Desert then return to Steagal Snick in Avlee.	0	Bryan	0
32	Retrieve the Perfect Bow from the Titans' Stronghold in Avlee and return it to Steagal Snick in Avlee.	0	Bryan	0
33	Win five arena challenges then return to Leda Rowan in the Bracada Desert.	0	Bryan	0
34	Destroy all the undead in the Haunted House in the Barrow Downs and return to Frederick Org in Erathia.	0	Bryan	0
35	Raid the Elven Treasury at Castle Navan in the Tularean Forest and return to Frederick Org in Erathia.	0	Bryan	0
36	Calm the trees in the Tularean Forest by speaking to the Oldest Tree then return to Lysander Sweet in the Bracada Desert.	0	Bryan	0
37	Solve the secret to the entrance of the Faerie Mound in Avlee and speak to the Faerie King.	0	Bryan	0
38	"Collect 10,000 gold worth of bounties from the Bounty Hunts in the town halls, then return to Ebednezer Sower in the Tularean Forest."	0	Bryan	0
39	Find the Heart of the Forest in the Mercenary Guild in Tatalia and return it to the Oldest Tree in the Tularean Forest.	0	Bryan	0
40		Talked to the Oldest Tree	Bryan	0
41		Solved Tree quest	Bryan	0
42	Purify the Altar of Evil in the Temple of the Moon on Evenmorn Isle then return to Rebecca Devine in Celeste.	0	Bryan	0
43	Find the lost pirate map in the Tidewater Caverns in Tatalia and return to Daedalus Falk in the Deyja Moors.	0	Bryan	0
44	Deface the Altar of Good in the Temple of the Sun on Evenmorn Isle then return to Daedalus Falk in the Deyja Moors.	0	Bryan	0
45	"Collect the six golem pieces and construct a complete golem, then return to Thomas Grey in the School of Sorcery."	0	Bryan	0
46		Player Castle.  Golem should appear in castle bit.	Bryan	0
47	Find the Book of Divine Intervention in the Breeding Zone in the Pit and return it to Thomas Grey in the School of Sorcery.	0	Bryan	0
48	Retrieve the lich jars from the Proving Grounds in Celeste and bring them back to Halfgild Wynac in the Pit.	0	Bryan	0
49	"Visit the three stonehenge monoliths in Tatalia, the Evenmorn Islands, and Avlee, then return to Anthony Green in the Tularean Forest."	0	Bryan	0
50		Visited all stonehenges		0
51		Visited stonehenge 1 (area 9)		0
52		Visited stonehenge 2 (area 13)		0
53		Visited stonehenge 3 (area 14)		0
54	"Retrieve the bones of the Dwarf King from the tunnels between Stone City and Nighon and place them in their proper resting place in the Barrow Downs, then return to Anthony Green in the Tularean Forest."	0	Bryan	0
55	Retrieve the dragon egg from the Dragon Cave in the Land of the Giants and return it to Tor Anwyn in Mount Nighon.	0	Bryan	0
56		Watchtower 6.  Taken the weight from the upper gatehouse.  Spy promo quest		0
57		Solved the code puzzle.  Ninja promo quest		0
58		Destroyed critter generator in dungeon.  Warrior Mage promo quest.		0
59		Won five arena championships at [something] difficulty level.  Champion promo quest.	Bryan	0
60		Robbed Elven treasury.  Black Knight promo quest.		0
61		Collected 10000 gold in bounties.  Bounty Hunter promo quest.	Bryan	0
62		Purified the Altar of Evil.  Priest of Light promo quest.		0
63		Defaced the Altar of Good.  Priest of Dark promo quest.		0
64		Activate boat to area 9.  Priest promo quest		0
65		Barrow downs.   Returned the bones of the Dwarf King.  Arch Druid promo quest.		0
66		Placed Golem torso	Bryan	0
67		Placed Golem left leg	Bryan	0
68		Placed Golem right leg	Bryan	0
69		Placed Golem left arm	Bryan	0
70		Placed Golem left leg	Bryan	0
71		Placed Golem head	Bryan	0
72		Placed Golem Abbey normal head	Bryan	0
73		Finished constructing Golem with Abbey normal head	Bryan	0
74		Finished constructing Golem with normal head	Bryan	0
75	"Clean out Castle Harmondale and return to the Butler in the tavern, On the House, in Harmondale."	Given by butler at the door to the player castle.		0
76	Rescue the dwarves from the Red Dwarf Mines and return to the Dwarf King in Stone City in the Barrow Downs.		Bryan	0
77	Retrieve plans from Fort Riverstride and return them to Eldrich Parson in Castle Navan in the Tularean Forest.		Bryan	0
78	Rescue Loren Steel from the Tularean Caves in the Tularean Forest and return him to Queen Catherine.		Bryan	0
79	Retrieve Gryphonheart's Trumpet from the battle in the Tularean Forest and return it to whichever side you choose.		Bryan	0
80		Gave plans to elfking	Bryan	0
81		Gave Loren to Catherine	Bryan	0
82		Gave false plans to elfking (betray)	Bryan	0
83		Gave false Loren to Catherine (betray)	Bryan	0
84		Gave artifact to humans	Bryan	0
85		Gave artifact to elves	Bryan	0
86		Gave weapons to humans	Bryan	0
87		Gave weapons to elves	Bryan	0
88		Talked to Catherine	Bryan	0
89		Talked to elfking	Bryan	0
90		Told Catherine about fake prisoner	Bryan	0
91		Told Elfking about fake plans	Bryan	0
92		Fort Riverstride.  Opened chest with plans		0
93		Tularean Caves.  Got Loren		0
94	Give false Riverstride plans to Eldrich Parson in Castle Navan in the Tularean Forest.		Bryan	0
95	Return the Loren imposter to Queen Catherine in Castle Gryphonheart in Erathia.		Bryan	0
96		Built Castle to Level 3 (good)NO LONGER USED(Riki)	Bryan	0
97		Built Castle to Level 3 (evil)NO LONGER USED(Riki)	Bryan	0
98		Built Castle to Level 2 (rescued dwarf guy)	Bryan	0
99		Chose the path of Light	Bryan	0
100		Chose the path of Dark	Bryan	0
101	Complete the Walls of Mist without killing a single opponent and return to Gavin Magnus in Castle Lambent in Celeste.		Bryan	0
102		Completed Proving Grounds without killing a single creature	Bryan	0
103	Retrieve the altar piece from the Temple of Light in Celeste and the Temple of Dark in the Pit and return them to Resurectra in Castle Lambent in Celeste.		Bryan	0
104	Go to Colony Zod in the Land of the Giants and slay Xenofex then return to Resurectra in Castle Lambent in Celeste.	0	Bryan	0
105		Slayed Xenofex	0	0
106	Investigate the Wine Cellar in Tatalia and return to Crag Hack in Castle Lambent in Celeste.	0	Bryan	0
107		Slayed the vampire	0	0
108	Retrieve the Case of Soul Jars from Castle Gloaming in the Pit and return to Sir Caneghem in Celeste.	0	Bryan	0
109	Assassinate Tolberti in his house in the Pit and return his control cube to Robert the Wise in Celeste.	0	Bryan	0
110		Finished Necro Proving Grounds	Bryan	0
111		Finished Necro Task 2 - Temple of Light	Bryan	0
112		Finished Necro Task 3 - Soul Jars	Bryan	0
113		Finished Necro Task 4 - Clanker's Lab	Bryan	0
114		Finished Wizard Proving Grounds	Bryan	0
115		Finished Wizard Task 2 - Temple of Dark	Bryan	0
116		Finished Wizard Task 3 - Wine Cellar	Bryan	0
117		Finished Wizard Task 4 - Soul Jars	Bryan	0
118		Killed Good MM3 Person	Bryan	0
119		Killed Evil MM3 Person	Bryan	0
120		Got Hive part	Bryan	0
121		Got the sci-fi part	Bryan	0
122	Retrieve the altar piece from the Temple of Light in Celeste and the Temple of Dark in the Pit and return them to Kastore in the Pit.	0	Bryan	0
123	Go to Colony Zod in the Land of the Giants and slay Xenofex then return to Kastore in the Pit.	0	Bryan	0
124	Retrieve the Case of Soul Jars from the Warlocks in Thunderfist Mountain and bring them to Maximus in the Pit.	0	Bryan	0
125	Destroy the magical defenses inside Clanker's Laboratory and return to Dark Shade in the Pit.	0	Bryan	0
126		Destroyed the magical defenses in Clanker's Lab	0	0
127	Assassinate Robert the Wise in his house in Celeste and return to Tolberti in the Pit.	0	Bryan	0
128	Complete the Breeding Zone and return to Archibald in the Pit.	0	Bryan	0
129		Completed Breeding Pit.	0	0
130	Go to the Lincoln in the sea west of Avlee and retrieve the Oscillation Overthruster and return it to Resurectra in Celeste.	0	0	0
131	Go to the Lincoln in the sea west of Avlee and retrieve the Oscillation Overthruster and return it to Kastore in the Pit.	0	0	0
132		Butler only shows up once (area 2)	Pete	0
133		Player castle timer only happens once	Pete	0
134		Arbiter Messenger only happens once	Pete	0
135		Player castle goblins are all dead	Riki	0
136		Party doesn't come back to Out01 temple anymore	Bryan	0
137		Artifact Messenger only happens once	Riki	0
138		Killed specific monster (Armsmaster GM quest) - important for Bob	Bryan	0
139		Completed fountain quest (Water Magic GM) - important for Bob	Bryan	0
140		Cleaned out the haunted mansion (Cavalier promo)	Bryan	0
141		"Only give Markham's vase once (Markham's manor, Thief promo)."	Bryan	0
142		Killed all monsters in Haunted mansion	Bryan	0
143		Killed all monsters in Bandit cave	Bryan	0
144		Alice Hargreaves in building only once	Bryan	0
145		Membership to the School of Sorcery Scroll Shop	Bryan	0
146	Talk to the Dwarves in Stone City in the Barrow Downs to find a way to repair Castle Harmondale.	0	0	0
147		Gave artifact to arbiter	Bryan	0
148		Got Lich Jar from Walls of Mist	Bryan	0
149		Got Lich Jar from Thunderfist Mountain	Bryan	0
150		Got Lich Jar from Castle Gloaming	Bryan	0
151	"Enter the Pit from the Hall of the Pit in the Deyja Moors, then talk to Archibald in Castle Gloaming in the Pit."	0	0	0
152	"Enter Celeste from the grand teleporter in the Bracada Desert, then talk to Gavin Magnus in Castle Lambent in Celeste."	0	0	0
153	Choose a judge to succeed Judge Grey as Arbiter in Harmondale.	0	0	0
154		Got Scroll of Waves	0	0
155	Retrieve the Lantern of Light from the Barrow Downs and return it to Tarin Withern in Harmondale.	Barrow Lantern Quest	James	0
156	Retrieve Haldar's Remains from the Maze in Nighon and return them to Mazim Dusk in Nighon.	Haldar's Remains Quest	James	0
157	Retrieve Davrik's Signet ring from the Bandit Caves in the northeast of Erathia and return it to Davrik Peladium in Harmondale.	Davrik's Ring Quest	James	0
158	Take Sealed Letter to Lord Markham in Lord Markham's Manor in Tatalia for collector Norbert Thrush.		James	0
159	Return Parson's Quill to Norbert Thrush in Erathia.		James	0
160		Got Signet ring out of chest	Tim	0
161		Got magic dust out of chest 	Tim	0
162		Got lantern of light	Tim	0
163		Got perfect bow out of chest	Tim	0
164		Visited Obelisk in Area 2	Riki	0
165		Visited Obelisk in Area 3	Riki	0
166		Visited Obelisk in Area 4	Riki	0
167		Visited Obelisk in Area 5	Riki	0
168		Visited Obelisk in Area 6	Riki	0
169		Visited Obelisk in Area 7	Riki	0
170		Visited Obelisk in Area 8	Riki	0
171		Visited Obelisk in Area 9	Riki	0
172		Visited Obelisk in Area 10	Riki	0
173		Visited Obelisk in Area 11	Riki	0
174		Visited Obelisk in Area 12	Riki	0
175		Visited Obelisk in Area 13	Riki	0
176		Visited Obelisk in Area 14	Riki	0
177		Visited Obelisk in Area 39	Riki	0
178		Open final Obelisk Chest	Riki	0
179	Take the sealed letter to the Faerie King in the Hall under the Hill in Avlee.		Bryan	0
180	Take the Faerie Pipes to Johann Kerrid in the Tularean Forest.		Bryan	0
181	Go to the Mercenary Guild in Tatalia and talk to Niles Stantley within two weeks.	Goto Merc Guild	Bryan	0
182	Steal the Tapestry from your associate's Castle and return it to Niles Stantley in the Mercenary Guild in Tatalia.	Do the Merc Guild Quest	Bryan	0
183		Failed either goto or do guild quest	Bryan	0
184		Killed all castle monsters	Bryan	0
185		Killed all outdoor monsters	Bryan	0
186	Kill all the Troglodytes underneath Stone City and return to Spark Burnkindle in Stone City.	0	Bryan	0
187	Kill all the Griffins in Erathia and the Bracada Desert and return to Seth Drakkson in the Deyja Moors.	0	Bryan	0
188		Killed all Erathian Griffins	Bryan	0
189		Killed all Bracada Desert Griffins	Bryan	0
190		Finished with Malwick & Assc.	Riki	0
191		Turn on map in mdtXX(Dwarven Barrow)	Riki	0
192		Turn on map in mdkXX(Dwarven Barrow)	Riki	0
193		Turn on map in mdrXX(Dwarven Barrow)	Riki	0
194	"Find the fate of Darron's brother in the White Cliff Caves, then return to Darron Temper in Harmondale."	0	0	0
195	Retrieve the Seasons' Stole from the Hall of the Pit and return it to Gary Zimm in the Bracada Desert.	0	0	0
196		Find second entrance to Watchtower6	James	0
197		Entered Faerie Mound	James	0
198		Archibald in Clankers Lab now	0	0
199		Take the Associate's Tapestry	0	0
200	"Retrieve the three statuettes and place them on the shrines in the Bracada Desert, Tatalia, and Avlee, then return to Thom Lumbra in the Tularean Forest."		0	0
201		Placed item 617 in out14(statue)	0	0
202		Place item 618 in out13(statue)	0	0
203		Place item 619 in out06(statue)	0	0
204	Retrieve the three paintings and return them to Ferdinand Visconti in Tatalia.	0	0	0
205	"Win a game of Arcomage in all thirteen taverns, then return to Gina Barnes in Erathia."	0	0	0
206		Harmondale - Town Portal	0	0
207		Erathia - Town Portal	0	0
208		Tularean Forest - Town Portal	0	0
209		Celeste - Town Portal	0	0
210		The Pit - Town Portal	0	0
211		Nighon - Town Portal	0	0
212		Vase - I lost it	0	0
213		Dagger - I lost it	0	0
214		Scroll of Waves - I lost it	0	0
215		Cipher - I lost it	0	0
216		Worn Belt - I lost it	0	0
217		Heart of Wood - I lost it	0	0
218		Map to Evenmorn - I lost it	0	0
219		Golem Head - I lost it	0	0
220		Abby normal head - I lost it	0	0
221		Right arm - I lost it	0	0
222		Left arm - I lost it	0	0
223		Right leg - I lost it	0	0
224		Left leg - I lost it	0	0
225		Torso - I lost it	0	0
226		Book of Divine Intervention - I lost it	0	0
227		Dragon Egg - I lost it	0	0
228		Dwarf Bones - I lost it	0	0
229		Lich Jar (Empty) - I lost it	0	0
230		Elixir - I lost it	0	0
231		Lich Jar Case - I lost it	0	0
232		Altar Piece (Good) - I lost it	0	0
233		Altar Piece (Evil) - I lost it	0	0
234		Control Cube - I lost it	0	0
235		Wetsuit - I lost it	0	0
236		Final Part - I lost it	0	0
237		Lich Jar (Full) - I lost it	0	0
238		Won all Arcomage games	0	0
239		Got the Divine Intervention	0	0
240		Talked to Roland	0	0
241		Perfect bow - I lost it	0	0
242		Opened chest with shadow mask	0	0
243		Killed High Preist of Baa	0	0
244		Finished ArcoMage Quest - Get the treasure	0	0
245	Congratulations	For Blinging	0	0
246		Visited The Land of the giants	0	0
247		Control Cube only once	0	0
248		Took area 2 hill fort	0	0
249		Don't get ambushed	0	0
250		Bought Item 1	0	0
251		Bought Item 2	0	0
252		Bought Item 3	0	0
253		Bought Item 4	0	0
254		Bought Item 5	0	0
255		Bought Item 6	0	0
256		Can't keep buying 1	0	0
257		Can't keep buying 2	0	0
258		Can't keep buying 3	0	0
259		Can't keep buying 4	0	0
260		Can't keep buying 5	0	0
261		Can't keep buying 6	0	0
262		Time for Gobs to appear in area 2(raiding camp)	0	0
263		Area 12 Archibald only once	0	0
264		Took Roland Painting	0	0
265		Took Archi Painting	0	0
266		Took Angel Painting	0	0
267		South Signal Fire Out02	0	0
268		North Signal Fire Out02	0	0
269		West Siganl Fire Out02	0	0
270		Your friends are mad at you 	0	0
271	0	0	0	0
272	0	0	0	0
273	0	0	0	0
274	0	0	0	0
275	0	0	0	0
276	0	0	0	0
277	0	0	0	0
278	0	0	0	0
279	0	0	0	0
280	0	0	0	0
281	0	0	0	0
282	0	0	0	0
283	0	0	0	0
284	0	0	0	0
285	0	0	0	0
286	0	0	0	0
287	0	0	0	0
288	0	0	0	0
289	0	0	0	0
290	0	0	0	0
291	0	0	0	0
292	0	0	0	0
293	0	0	0	0
294	0	0	0	0
295	0	0	0	0
296	0	0	0	0
297	0	0	0	0
298	0	0	0	0
299	0	0	0	0
300	0	0	0	0
301	0	0	0	0
302	0	0	0	0
303	0	0	0	0
304	0	0	0	0
305	0	0	0	0
306	0	0	0	0
307	0	0	0	0
308	0	0	0	0
309	0	0	0	0
310	0	0	0	0
311	0	0	0	0
312	0	0	0	0
313	0	0	0	0
314	0	0	0	0
315	0	0	0	0
316	0	0	0	0
317	0	0	0	0
318	0	0	0	0
319	0	0	0	0
320	0	0	0	0
321	0	0	0	0
322	0	0	0	0
323	0	0	0	0
324	0	0	0	0
325	0	0	0	0
326	0	0	0	0
327	0	0	0	0
328	0	0	0	0
329	0	0	0	0
330	0	0	0	0
331	0	0	0	0
332	0	0	0	0
333	0	0	0	0
334	0	0	0	0
335	0	0	0	0
336	0	0	0	0
337	0	0	0	0
338	0	0	0	0
339	0	0	0	0
340	0	0	0	0
341	0	0	0	0
342	0	0	0	0
343	0	0	0	0
344	0	0	0	0
345	0	0	0	0
346	0	0	0	0
347	0	0	0	0
348	0	0	0	0
349	0	0	0	0
350	0	0	0	0
351	0	0	0	0
352	0	0	0	0
353	0	0	0	0
354	0	0	0	0
355	0	0	0	0
356	0	0	0	0
357	0	0	0	0
358	0	0	0	0
359	0	0	0	0
360	0	0	0	0
361	0	0	0	0
362	0	0	0	0
363	0	0	0	0
364	0	0	0	0
365	0	0	0	0
366	0	0	0	0
367	0	0	0	0
368	0	0	0	0
369	0	0	0	0
370	0	0	0	0
371	0	0	0	0
372	0	0	0	0
373	0	0	0	0
374	0	0	0	0
375	0	0	0	0
376	0	0	0	0
377	0	0	0	0
378	0	0	0	0
379	0	0	0	0
380	0	0	0	0
381	0	0	0	0
382	0	0	0	0
383	0	0	0	0
384	0	0	0	0
385	0	0	0	0
386	0	0	0	0
387	0	0	0	0
388	0	0	0	0
389	0	0	0	0
390	0	0	0	0
391	0	0	0	0
392	0	0	0	0
393	0	0	0	0
394	0	0	0	0
395	0	0	0	0
396	0	0	0	0
397	0	0	0	0
398	0	0	0	0
399	0	0	0	0
400	0	0	0	0
401	0	0	0	0
402	0	0	0	0
403	0	0	0	0
404	0	0	0	0
405	0	0	0	0
406	0	0	0	0
407	0	0	0	0
408	0	0	0	0
409	0	0	0	0
410	0	0	0	0
411	0	0	0	0
412	0	0	0	0
413	0	0	0	0
414	0	0	0	0
415	0	0	0	0
416	0	0	0	0
417	0	0	0	0
418	0	0	0	0
419	0	0	0	0
420	0	0	0	0
421	0	0	0	0
422	0	0	0	0
423	0	0	0	0
424	0	0	0	0
425	0	0	0	0
426	0	0	0	0
