										
#	Lvl	火系魔法	Res	简称	法术描述	普通	专家级	大师级	大宗师级	Stats
1	1	火把之光	none	火把之光	火把之光会提升队伍周围的亮度。效果只有在黑暗中才看得出来。	每一点技能点数增加一小时的有效时间。	亮度更高。	最高的亮度。	更快的恢复时间。	P
2	2	火焰箭	Fire	火焰箭	对单一的敌人发动火焰攻击。施法者的每个火系法术等级可以造成一到三点的伤害，施法所需的点数真的很低。火焰箭既安全又有效，是巫师手中最可靠的攻击法术。	恢复速度缓慢。	更快的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMEC
3	3	抗火术	none	防火	这个法术可以让你的人物增加对火的抵抗力，每个等级换一点的抵抗力，每个等级的技能点数也可以让法术的效果持续一个小时。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加二点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	P
4	4	火焰光	none	火焰光	让没有特殊属性的武器沾染上魔法火焰。给予武器火焰的属性。（举例来说，火之三叉戟），有效时间是每个技能等级一个小时。	火焰属性	炎火属性	地狱烈焰属性	永久的地狱烈焰属性	P
5	5	快速术	none	快速术	减少队员行动时所需要的恢复时间，有效时间是一小时加上火系法术的每一个技能等级可以获得额外的一分钟。在法术效力结束之后，队伍将会陷入六小时的虚弱状态。这个法术效果可以一次影响整个队伍。	无	持久力是一个小时，每个技能等级可以增加额外的一分钟。	持久力是一个小时，每个技能等级增加额外的三分钟。	持久力是一个小时，每个技能等级增加额外的四分钟。	PM
6	6	火球术	Fire	火球术	这也是巫师最喜欢用的法术。对准单一目标发射火球，当火球爆炸的时候，会伤及附近的任何人，如果队伍太靠近也是一样。施法者每个火系法术的技能等级会造成1-6点的伤害。	无	中等的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMEC
7	7	火刺术	Fire	火刺术	将一根火焰刺丢在地面，等待生物靠近之后才会爆炸。这根火焰刺会一直停留在原地，除非被生物触发或是队伍离开该张地图。最多可以一次布置五根火刺。火系法术的技能每一等级可以造成1-6点的伤害。	无	每点技能造成一到六点的伤害，最多五根火刺。	每个技能造成一到八点的伤害，最多七根火刺。	每点技能造成一到十点的伤害，最多九点伤害。	PC
8	8	献祭术	Fire	献祭术	用高热的火焰将队伍整个包围住，但这火焰只会对其他人造成伤害。每等级火系法术技能可以让这股火焰持续一分钟。伤害力则是每个等级1-6点。	无	无	每点技能可以增加法术效力一分钟。	每点技能可以增加法术效力十分钟。	PC
9	9	陨石雨	Fire	陨石雨	召唤一大群的高热石块痛击你的目标周围的地点一次可以召唤来十六颗陨石，每个陨石可以造成8点的伤害力，每个等级的火系法术技能会再增加1点的伤害力。只能在野外产生作用。	无	无	中等的恢复速度，十六颗陨石。	快速的恢复速度，二十颗陨石。	PMEC
10	10	地狱之火	Fire	地狱之火	以火焰灼烧眼前所有的敌人，包括自己的队伍。很适合清理一整个房间里面都是弱小怪物的状况，只要一两次的施法就清洁溜溜了。每个等级的火系法术技能会造成12点的伤害。只能在室内产生作用。	无	无	中等的恢复时间。	最快的恢复时间。	PC
11	11	炎灼术	Fire	炎灼术	炎灼术是最强的攻击性法术，能够对单一目标造成严重的火焰伤害。只有最强悍的怪物可以在这个法术之下生存。伤害力是十五点起跳，每一个技能点数可以额外造成1-15点的伤害。	无	无	无	这个法术的效果这样就已经是最强了！	PMC
	Lvl	风系法术	Res		法术描述					
12	1	巫师之眼	none	巫师之眼	巫师之眼可以让在游戏画面右上角的自动地图可以显现出生物和其它有趣地方的位置。有效时间是每一个小时乘以施法者的风系魔法技能。	只会显示地形和怪物。	显示宝藏。	显示有趣的地点。	不需要花费法力点数。	P
13	2	羽落术	Air	羽落术	羽落术将会降低队伍落下的速度，让他们从十尺以上的高度降下的速度将会变慢。避免他们因为从高处落下而受伤。风系法术的每个等级会增加额外的一段时间，并且会影响到整个队伍。	每点技能点数可以持续五分钟。	每点技能点数可以持续十分钟。	每点技能点数可以持续一个小时。	更快的恢复时间。	P
14	3	抗风术	none	抗风术	每个风系魔法的技能等级会增加受术者对于风系法术的抵抗力一点。有效时间是每个技能点数增加一个小时。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加两点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	P
15	4	火花术	Air	火花术	发射三颗小型的雷电球，他们会在大陆上四处弹跳，直到击中目标或是电力耗尽为止。由于很难预测电球会跳往那个方向，所以最适合在挤满小怪物的房间里面使用。每个人物的风系法术等级可以让每个火花增加二点的伤害力。	中等的恢复速度，三个火花。	较快的恢复速度，五个火花。	较快的恢复速度，七个火花。	最快的恢复速度，九个火花。	PMEC
16	5	跳跃术	none	跳跃术	你的队伍可以往前跳跃六十英尺的距离，并且不会受到任何的伤害。	无	中等的恢复速度。	较快的恢复速度。	最快的恢复时间。	P
17	6	护盾术	none	护盾术	减缓飞来的投掷性武器（像是石块和飞箭），让他们如果击中，只会造成一半的伤害。	无	持续力为一个小时，每个等级的法术技能再加五分钟。	持续力为一个小时，每个等级的法术技能再加十五分钟。	持续力为一个小时，每个等级的法术技能再加一小时。	PM
18	7	闪电术	Air	闪电术	法师的最爱，从法师的手中对准单一目标发射一道闪电，它一定会击中敌人。而施法者的每个风系法术技能等级可以造成1-8点的伤害。	无	中等的恢复时间。	更快的恢复时间。	最快的恢复时间。	PMEC
19	8	隐形术	none	隐形术	让队伍对于一般生物来说变成隐形。如果队伍开口或是攻击（不管有没有击中敌人），这个法术就会失效。当有敌意的生物在附近时，这个法术是无法施展的。	无	无	每点法术技能可以延续十分钟。	每点法术技能可以延续一个小时。	P
20	9	内爆术	Air	内爆术	摧毁单一目标物身边的空气，造成空气猛烈而突然的往内压缩，如同暴雷一般的猛烈。。伤害力是以十点起跳，每个等级的风系魔法技能增加1-10点。	无	无	中等的恢复时间。	最快的恢复时间。	PMC
21	10	飞行术	none	飞行术	只要在法术的有效时间内，您的队伍成员就可以飞起来。这个法术非常的昂贵，而且只能够在室外使用，不过也算是非常的有用。队伍在空中每多待五分钟，施法者的法力点数就会被吸取一点。（只要你脚不碰地都算）	无	无	每点法术时间可以延续一个小时。	不会继续消耗法力点数。	P
22	11	星爆术	Air	星爆术	从苍穹中呼唤来二十颗星辰，砸落在目标物的四周，对目标和它周遭的生物造成严重的伤害。每颗星辰会造成20点的伤害，另外每一等级的风系法术额外加上一点的伤害力。只在室外有效。千万不要被卷进爆炸的范围中···	无	无	无	这个法术的效果这样就已经是最强了！	PEC
	Lvl	水系法术	Res		法术描述					
23	1	苏醒术	none	苏醒术	自动将你所有的队员从正常的睡眠状态中叫醒，如果是魔法睡眠，那么他们陷入这种状况的时间不可以太久。使用者在水系法术上的技能越高，就可以解除越久以前陷入的睡眠状态。	如果睡着的时间不超过每点法术技能三分钟的时间，就可以产生作用。	如果睡着的时间不超过每点法术技能一小时的时间，就可以产生作用。	如果睡着的时间不超过每点法术技能一天的时间，就可以产生作用。	最快的恢复时间。	P
24	2	喷毒术	Water	喷毒素	对着队伍正前方的敌人喷射毒液。伤害力虽然低，但是只有很少的怪物对水系法术拥有抵抗力，所以通常会派上用场。伤害力是两点加上施术者每个等级的水系魔法额外造成1-2点。	恢复速度缓慢，一发毒素。	恢复速度较快，三发毒素。	恢复速度较快，五发毒素。	恢复速度最快，七发毒素。	P
25	3	抗水术	none	抗水术	提升您所有队员对于水系魔法的抵抗力，施术者每个等级的水系魔法技能可以增加相对的抵抗力，每个技能点数可以持续一个小时。	每点技能点数可以增加一点的抵抗力。	每点技能点数可以增加两点的抵抗力。	每点技能点数可以增加三点的抵抗力。	每点技能点数可以增加四点的抵抗力。	P
