Global Text	

0	防御
1	精确
2	状态加分
3	冒险者
4	恐惧
5	年龄
6	空气
7	炼金师
8	方尖塔记录
9	祝贺你！
10	时空之门
11	防具
12	防御等级
13	铸甲匠
14	睡着
15	在%d的%s中判断失败
16	自动存档
17	经验值
18	攻击
19	可选
20	可选技能
21	功绩
22	功绩
23	功绩：
24	向后
25	余额
26	银行
27	乞求
28	铁匠
29	肢体
30	剩余属性点
31	贿赂
32	破损物品
33	购买
34	取消
35	时空之门至%s
36	%s不能这样使用 
37	拯救恩洛斯的时间：
38	魔法全书
39	选择目标
40	施放备用魔法
41	职业
42	公务员
43	冰系
44	战斗
45	状态
46	被迷惑
47	状态
48	设置
49	交谈
50	爬行
51	组建队伍
52	被诅咒
53	杀伤力
54	暗黑
55	黎明
56	日
57	天
58	死亡
59	内部错误
60	存款
61	按ESC键
62	色彩数为16位色（32K或65K）时，魔法门6才能以窗口模式运行。
63	魔法门6载入文件出错。请重新安装游戏以修复该问题。注意：重新安装不会删除你的游戏存档。
64	详细物品栏切换
65	患病
66	杀伤力
67	%s不会此技能
68	捐赠
69	喝醉
70	土系
71	电系
72	空
73	进入
74	结束谈话
75	耐力
76	灰飞烟灭
77	逃离
78	日历
79	退出
80	离开此地
81	结束休息
82	你确定吗？再次单击可退出
83	经验值
84	知名度
85	药剂记录
86	购买%d天的食物，花费%d个金币
87	火系
88	食物
89	为
90	向前
91	星期五
92	满月
93	游戏选项
94	你的得分：%lu
95	宝石
96	获得
97	金币
98	健康
99	图像
100	卫兵
101	行会首领
102	弦月
103	码头船老大
104	治疗
105	医师
106	已治愈
107	生命值
108	生命值
109	小时
110	小时
111	几个小时？
112	多少？
113	鉴定
114	旅店老板
115	导师
116	智力
117	痴狂
118	我们希望您玩此游戏的心情与我们当时制作此游戏的心情一样愉快。我们在魔法门6的安装目录下将此截屏存为了MM6_WIN.PCX图片文件，您可以把它打印出来作为您游戏成绩的见证。欢迎去玩英雄无敌3和魔法门7等其他游戏。
119	物品
120	行囊
121	永久
122	加入
123	其他记录
124	跳跃
125	+2点技能点数！
126	你要离开%s吗？
127	国王
128	要花%d天才能旅行至%s。
129	%s 等级 %u %s
130	左
131	等级
132	年
133	光明
134	%s攻击%s，造成%lu点伤害
135	正在载入
136	运气
137	泉水记录
138	魔系
139	地图
140	你的行囊已经装满了！
141	先知记录
142	心智
143	辅助
144	力量
145	星期一
146	月
147	你可以训练到%u级。  
148	月
149	姓名
150	新月
151	祝贺你，冒险者。
152	不
153	无
154	自动摘要
155	你的金币不够
156	留在此地
157	"(c) 1991-1998年 3DO公司。保留所有版权。New World Computing、New World Computing标志、魔法门以及魔法门标志是3DO公司的商标和/或注册商标。所有其他商标均归其各自所有者所有。New World Computing是3DO公司的一个子机构。"
158	布特雷格湾东部
159	打开
160	神使
161	在
162	被麻痹
163	个性
164	%s攻击%s，造成%lu点伤害
165	请稍等片刻
166	中毒
167	- 魔法门6开发小组
168	技能点
169	凸月
170	备魔
